Slip_Sense	Strand	Pt_Identif	Scarp_Face_Dir	Local_Width_m	H_Offset_cm	H_Uncert_cm	V_Separ_cm	V_Uncert_cm	Northing	Easting	Distance_m	Compiler_Notes
2	25	63	NaN	NaN	0	NaN	0	NaN	3938827	444601.7813	28.74603694	SW rupture based on NW cross fault
2	25	58	NaN	NaN	3.5	NaN	NaN	NaN	3940137.25	445825.1875	1820.810915	"Arc C1; J. Treiman; assumed separation means LL; summed disp on two parallel strands. W: 1.5 cm, E: 1.5-2.5 cm LL"
1	21	53	2	NaN	9	NaN	6.5	NaN	3939819.75	446469.1875	2011.033401	Olson_Spanger. H assumed RL based on adj points
2	25	59	NaN	NaN	1	NaN	NaN	NaN	3940520.5	446111.9375	2297.771227	Arc C1; P. Holland
2	21	52	NaN	NaN	7.5	2.5	NaN	NaN	3940124.5	446798.1875	2457.250269	Arc C1; J. Treiman
2	21	51	NaN	NaN	3	NaN	NaN	NaN	3940214	446870.5313	2572.317186	Arc C1; J. Treiman
2	21	50	NaN	NaN	2.5	0.5	NaN	NaN	3940239.25	446920.1563	2624.057586	Arc C1; J. Treiman
2	21	49	NaN	NaN	9	NaN	NaN	NaN	3940263	446947.8438	2660.352487	Arc C1; J. Treiman
2	26	54	NaN	NaN	4	NaN	NaN	NaN	3940524.5	446789.0625	2750.382049	Arc C1; J. Treiman
2	25	60	NaN	NaN	1	NaN	NaN	NaN	3941008.25	446606.3125	2990.782933	Arc C1; J. Treiman
2	21	48	1	NaN	37	NaN	3	NaN	3940554	447191.9688	3039.995949	Arc C1; J. Treiman
2	26	55	NaN	1	4	NaN	NaN	NaN	3940818.5	447114.0313	3185.923206	Arc C1; J. Treiman
2	25	61	NaN	NaN	1.5	0.5	NaN	NaN	3941161	446746.4063	3197.97194	Arc C1; J. Treiman
2	26	56	NaN	NaN	4.5	0.5	NaN	NaN	3940997.75	447339.125	3469.53343	Arc C1; J. Treiman
2	21	47	NaN	NaN	10	NaN	NaN	NaN	3941094.75	447577.375	3700.140573	Arc C1; J. Treiman; reported as 10 cm or less
2	26	57	NaN	NaN	2	NaN	NaN	NaN	3941173.25	447495.5625	3704.598403	Arc C1; J. Treiman
2	21	46	NaN	NaN	15	5	NaN	NaN	3941189.25	447657.75	3824.234965	Arc C1; J. Treiman
