lon	lat	e_mm_day	n_mm_day	u_mm_day	hor_mm_day
  -1.0729805e+02   3.7994039e+01   2.2668172e-01  -2.1762301e-01  -7.2563694e-01   3.1423618e-01
  -1.0729741e+02   3.7991797e+01   1.4740437e-01  -1.2772147e-01  -5.5578174e-01   1.9504056e-01
  -1.0729743e+02   3.7992248e+01   1.8459629e-01  -1.9013108e-01  -6.7973262e-01   2.6500116e-01
  -1.0729744e+02   3.7992698e+01   2.3302353e-01  -1.9415787e-01  -7.5244788e-01   3.0331048e-01
  -1.0729745e+02   3.7993149e+01   1.9414131e-01  -2.0288163e-01  -5.7852005e-01   2.8080564e-01
  -1.0729747e+02   3.7993600e+01   1.6172111e-01  -1.5219695e-01  -4.8240716e-01   2.2207573e-01
  -1.0729748e+02   3.7994050e+01   2.4349218e-01  -1.9813061e-01  -6.4423628e-01   3.1391748e-01
  -1.0729677e+02   3.7989556e+01   1.5328867e-01  -2.2540334e-01  -7.1147997e-01   2.7258775e-01
  -1.0729678e+02   3.7990006e+01   1.9307687e-01  -2.3861482e-01  -7.0811849e-01   3.0694578e-01
  -1.0729680e+02   3.7990457e+01   2.1961940e-01  -1.9159306e-01  -4.8535623e-01   2.9144568e-01
  -1.0729681e+02   3.7990908e+01   1.3726722e-01  -1.5128115e-01  -7.6811851e-01   2.0427500e-01
  -1.0729683e+02   3.7991358e+01   1.8257115e-01  -1.6779988e-01  -5.4479031e-01   2.4796981e-01
  -1.0729684e+02   3.7991809e+01   1.5339216e-01  -1.4427888e-01  -5.8855918e-01   2.1058383e-01
  -1.0729685e+02   3.7992259e+01   2.8783707e-01  -2.0654970e-01  -6.2748960e-01   3.5427808e-01
  -1.0729687e+02   3.7992710e+01   2.3669701e-01  -2.3274028e-01  -6.4954660e-01   3.3195408e-01
  -1.0729688e+02   3.7993160e+01   2.0879588e-01  -2.4100946e-01  -6.4367111e-01   3.1887502e-01
  -1.0729613e+02   3.7987314e+01   1.5177277e-01  -2.1177634e-01  -6.6937394e-01   2.6054595e-01
  -1.0729614e+02   3.7987765e+01   1.6816739e-01  -2.5933363e-01  -3.6165747e-01   3.0908608e-01
  -1.0729616e+02   3.7988215e+01   2.1724203e-01  -2.4210176e-01  -6.5639680e-01   3.2528044e-01
  -1.0729617e+02   3.7988666e+01   2.1255503e-01  -1.9460162e-01  -5.8672084e-01   2.8818298e-01
  -1.0729619e+02   3.7989117e+01   1.8193699e-01  -1.9948379e-01  -6.0421364e-01   2.6999046e-01
  -1.0729620e+02   3.7989567e+01   1.2156803e-01  -1.7293042e-01  -5.8612974e-01   2.1138523e-01
  -1.0729621e+02   3.7990018e+01   1.7071869e-01  -2.3755489e-01  -5.3424593e-01   2.9253581e-01
  -1.0729623e+02   3.7990468e+01   1.3887533e-01  -1.5116504e-01  -8.3778270e-01   2.0527354e-01
  -1.0729624e+02   3.7990919e+01   2.4069874e-01  -2.2101241e-01  -6.8922526e-01   3.2677571e-01
  -1.0729626e+02   3.7991369e+01   2.2081136e-01  -1.9093135e-01  -6.5259006e-01   2.9191169e-01
  -1.0729549e+02   3.7985073e+01   1.2016080e-01  -1.8579411e-01  -5.9641393e-01   2.2126471e-01
  -1.0729550e+02   3.7985523e+01   1.0276489e-01  -1.9509219e-01  -6.5351053e-01   2.2050303e-01
  -1.0729552e+02   3.7985974e+01   1.6160642e-01  -2.3589579e-01  -6.6912250e-01   2.8594310e-01
  -1.0729553e+02   3.7986424e+01   1.7360703e-01  -1.9576826e-01  -5.5451481e-01   2.6165743e-01
  -1.0729556e+02   3.7987326e+01   1.5482009e-01  -2.2690533e-01  -6.7847621e-01   2.7469126e-01
  -1.0729557e+02   3.7987776e+01   1.9228752e-01  -2.5234218e-01  -4.6425643e-01   3.1725552e-01
  -1.0729559e+02   3.7988227e+01   1.7545930e-01  -1.7680511e-01  -5.3253567e-01   2.4909037e-01
  -1.0729560e+02   3.7988677e+01   2.2065840e-01  -2.0282981e-01  -5.2028107e-01   2.9971664e-01
  -1.0729561e+02   3.7989128e+01   1.5372665e-01  -2.0056787e-01  -5.2463876e-01   2.5270408e-01
  -1.0729563e+02   3.7989578e+01   1.4790548e-01  -1.4804498e-01  -5.3024067e-01   2.0926860e-01
  -1.0729564e+02   3.7990029e+01   1.7396718e-01  -1.6596008e-01  -5.8092602e-01   2.4043155e-01
  -1.0729486e+02   3.7983282e+01  -1.8492422e-01   7.8361549e-02   1.0127649e-01   2.0084197e-01
  -1.0729487e+02   3.7983732e+01  -2.8814074e-01   7.8903984e-04  -3.0175751e-01   2.8814182e-01
  -1.0729490e+02   3.7984634e+01   1.8552518e-01  -2.0719878e-01  -6.5183993e-01   2.7812034e-01
