#1:Lon   2:Lat   3:Center(km)    4:Slip(cm)    5:Stri-Slip(cm)    6:Dip-slip(cm)    7:StriSlipErr(cm)   8:DipSlipErr(cm)
94.986433 2.922694 13.804553 7.655457 -0.765054 7.617133 0.000000 0.000000
95.393269 2.193235 8.276908 15.345874 1.012251 15.312452 0.000000 0.000000
94.341474 2.612119 6.650873 0.000140 -0.000087 0.000110 0.000000 0.000000
96.507662 2.024908 16.208838 237.055085 -20.921811 236.130030 0.000000 0.000000
95.231968 2.775392 14.436098 18.209933 -4.562494 -17.629104 0.000000 0.000000
94.684738 2.312682 5.881910 0.000087 -0.000072 0.000048 0.000000 0.000000
95.624371 1.895630 6.535523 0.000236 -0.000017 0.000236 0.000000 0.000000
96.962255 2.653871 42.405588 218.809063 -1.658434 218.802778 0.000000 0.000000
95.984640 4.000401 58.766440 0.000086 -0.000032 -0.000079 0.000000 0.000000
95.820787 2.797169 20.949913 6.874988 1.823171 6.628839 0.000000 0.000000
97.374376 2.631749 54.680134 66.935694 -2.554666 -66.886926 0.000000 0.000000
96.092242 2.044159 11.042467 241.474021 0.751433 241.472852 0.000000 0.000000
96.734422 3.566727 67.546578 0.000233 -0.000156 -0.000174 0.000000 0.000000
96.996165 0.295780 7.301531 0.000877 -0.000810 -0.000337 0.000000 0.000000
97.159340 1.838922 29.294508 506.044649 -167.423763 477.546302 0.000000 0.000000
98.000317 0.685669 31.619479 53.876775 -9.309863 53.066311 0.000000 0.000000
97.586040 1.022328 26.678758 361.722971 -60.496105 356.628278 0.000000 0.000000
96.973741 0.163518 6.140971 0.000678 -0.000658 -0.000164 0.000000 0.000000
97.961249 -0.365552 14.090705 37.475502 -36.443325 -8.734836 0.000000 0.000000
97.088629 -0.083445 6.058715 0.000628 -0.000563 -0.000277 0.000000 0.000000
97.885647 2.328573 72.416172 86.206547 -0.986334 -86.200904 0.000000 0.000000
97.317088 1.491850 28.371088 1586.513821 -355.610778 1546.145879 0.000000 0.000000
97.459973 1.262770 27.957842 979.696375 -155.516883 967.274256 0.000000 0.000000
96.725300 1.840007 17.846326 97.372512 -23.988874 94.371288 0.000000 0.000000
96.607699 1.252849 9.967169 256.556108 -49.628503 251.710247 0.000000 0.000000
96.928381 0.929933 11.792822 528.592415 -101.859095 518.685517 0.000000 0.000000
96.639893 2.505886 29.116772 652.051570 4.279882 652.037524 0.000000 0.000000
97.005271 2.813378 49.012042 54.152985 -1.888046 54.120062 0.000000 0.000000
95.899499 3.693669 48.128605 83.671522 -0.464078 -83.670235 0.000000 0.000000
95.478580 1.895496 5.768141 0.000074 -0.000053 0.000052 0.000000 0.000000
95.455750 2.488958 12.036550 1.448908 -1.406370 -0.348508 0.000000 0.000000
96.171779 2.357699 16.282405 470.002617 18.150021 469.652037 0.000000 0.000000
95.575709 2.347352 10.908013 51.564095 2.565326 51.500243 0.000000 0.000000
95.806796 2.049686 8.954544 135.266294 1.559215 135.257307 0.000000 0.000000
96.278831 1.709130 9.613897 12.562543 -1.252378 12.499961 0.000000 0.000000
95.583726 4.009866 45.793619 0.000359 -0.000309 -0.000183 0.000000 0.000000
94.203253 2.611871 5.763950 0.000108 -0.000085 0.000067 0.000000 0.000000
95.128376 2.924373 15.338724 5.935887 -1.057399 -5.840947 0.000000 0.000000
95.727901 2.352482 11.873692 116.794800 5.062592 116.685027 0.000000 0.000000
94.364271 3.092934 9.693291 0.000145 -0.000132 0.000061 0.000000 0.000000
94.123464 2.775039 6.571959 0.000124 -0.000106 0.000064 0.000000 0.000000
94.488192 3.083857 10.460594 0.000201 -0.000165 0.000115 0.000000 0.000000
95.253741 3.383740 23.902181 13.036471 -1.901045 -12.897116 0.000000 0.000000
95.276950 3.864882 32.845713 0.000729 -0.000681 0.000258 0.000000 0.000000
96.035721 3.097975 33.518262 12.587303 -2.653359 -12.304466 0.000000 0.000000
96.145095 3.545945 51.049863 93.651348 -6.779345 -93.405650 0.000000 0.000000
95.480670 3.692165 35.782056 32.800390 -2.130123 -32.731149 0.000000 0.000000
96.327916 3.699875 61.266704 0.000520 -0.000067 -0.000516 0.000000 0.000000
96.218418 3.251950 43.153356 71.548501 -11.753778 -70.576460 0.000000 0.000000
95.741218 3.087252 27.338220 31.457931 -5.134688 -31.036050 0.000000 0.000000
95.758195 2.501440 14.303585 86.014034 6.805733 85.744365 0.000000 0.000000
96.106573 3.395343 45.115716 104.704682 -7.946721 -104.402682 0.000000 0.000000
95.923864 3.241327 35.633580 67.240622 -8.622968 -66.685423 0.000000 0.000000
97.238168 2.639909 50.261430 5.802086 -2.912532 5.018103 0.000000 0.000000
96.186047 3.105197 37.182235 4.890810 -2.455850 4.229518 0.000000 0.000000
96.542811 1.686144 12.845149 48.110130 -1.683904 -48.080651 0.000000 0.000000
96.856529 0.407028 6.177999 0.000811 -0.000806 0.000091 0.000000 0.000000
97.475704 1.391269 31.022856 1232.139053 -157.150374 1222.076269 0.000000 0.000000
96.952159 1.184298 15.171522 887.658930 -192.132715 866.616060 0.000000 0.000000
97.218310 2.132383 36.534336 242.625834 -56.862611 235.868478 0.000000 0.000000
96.670667 1.671079 14.879654 27.216750 -20.289148 18.141168 0.000000 0.000000
97.557167 2.785238 66.621296 97.819400 -1.938859 -97.800183 0.000000 0.000000
97.085193 3.126706 61.979579 60.401948 -4.921870 -60.201084 0.000000 0.000000
97.008981 2.324493 34.153208 338.575725 -19.603725 338.007716 0.000000 0.000000
97.638514 2.608273 65.365843 114.842902 -2.139422 -114.822973 0.000000 0.000000
97.273060 2.301215 42.130749 157.592463 -33.749157 153.936281 0.000000 0.000000
97.766441 2.592963 71.857332 79.131073 -1.088617 -79.123585 0.000000 0.000000
97.840798 1.698472 51.987125 145.219177 -10.941720 144.806381 0.000000 0.000000
96.551561 3.412964 57.705022 53.902435 -8.206924 -53.273998 0.000000 0.000000
98.182745 0.839297 40.952510 84.656929 -6.066042 -84.439320 0.000000 0.000000
97.510667 3.114548 76.097850 0.000880 -0.000479 -0.000738 0.000000 0.000000
97.520266 2.021619 46.549005 124.443174 -36.000691 119.122012 0.000000 0.000000
97.142734 1.463903 23.147845 1504.612484 -370.329460 1458.326033 0.000000 0.000000
97.499616 1.645525 37.364643 803.482957 -177.969577 783.525170 0.000000 0.000000
97.325242 1.617631 30.880917 1224.074992 -299.325472 1186.913581 0.000000 0.000000
98.023420 1.851939 64.989893 44.392155 2.842018 -44.301087 0.000000 0.000000
97.768503 1.176002 34.929707 281.275452 -40.174000 278.391684 0.000000 0.000000
98.398916 0.342996 36.730339 44.939796 -11.288181 43.498991 0.000000 0.000000
