#    lon              lat             slip-m
   9.4986433e+01   2.9226940e+00   1.0058401e-01
   9.5393269e+01   2.1932350e+00   5.2246231e-01
   9.4341474e+01   2.6121190e+00   2.7698688e-01
   9.6507662e+01   2.0249080e+00   1.5209388e+00
   9.5231968e+01   2.7753920e+00   1.2180476e-01
   9.4684738e+01   2.3126820e+00   2.1165208e-01
   9.5624371e+01   1.8956300e+00   1.2389752e+00
   9.6962255e+01   2.6538710e+00   5.4857449e-01
   9.5984640e+01   4.0004010e+00   7.4556793e-02
   9.5820787e+01   2.7971690e+00   2.6873848e-01
   9.7374376e+01   2.6317490e+00   7.4535540e-01
   9.6092242e+01   2.0441590e+00   2.0598133e+00
   9.6734422e+01   3.5667270e+00   5.1364881e-01
   9.6996165e+01   2.9578000e-01   9.3127050e-01
   9.7159340e+01   1.8389220e+00   3.4704676e-01
   9.8000317e+01   6.8566900e-01   7.9563216e-01
   9.7586040e+01   1.0223280e+00   5.6417832e-01
   9.6973741e+01   1.6351800e-01   7.5710101e-01
   9.7961249e+01  -3.6555200e-01   6.0664503e-01
   9.7088629e+01  -8.3445000e-02   6.2805946e-01
   9.7885647e+01   2.3285730e+00   1.5621098e+00
   9.7317088e+01   1.4918500e+00   6.5466731e-01
   9.7459973e+01   1.2627700e+00   7.6512044e-01
   9.6725300e+01   1.8400070e+00   1.1955403e+00
   9.6607699e+01   1.2528490e+00   3.0137630e+00
   9.6928381e+01   9.2993300e-01   2.7318318e+00
   9.6639893e+01   2.5058860e+00   5.0318114e-01
   9.7005271e+01   2.8133780e+00   6.0824715e-01
   9.5899499e+01   3.6936690e+00   8.0307756e-02
   9.5478580e+01   1.8954960e+00   9.3257091e-01
   9.5455750e+01   2.4889580e+00   1.8181841e-01
   9.6171779e+01   2.3576990e+00   1.5147251e+00
   9.5575709e+01   2.3473520e+00   5.0611048e-01
   9.5806796e+01   2.0496860e+00   1.4846738e+00
   9.6278831e+01   1.7091300e+00   2.4761303e+00
   9.5583726e+01   4.0098660e+00   9.6689707e-02
   9.4203253e+01   2.6118710e+00   2.9547070e-01
   9.5128376e+01   2.9243730e+00   1.0440207e-01
   9.5727901e+01   2.3524820e+00   7.2666636e-01
   9.4364271e+01   3.0929340e+00   2.6875185e-01
   9.4123464e+01   2.7750390e+00   3.0759052e-01
   9.4488192e+01   3.0838570e+00   2.4420623e-01
   9.5253741e+01   3.3837400e+00   1.0591985e-01
   9.5276950e+01   3.8648820e+00   1.0551652e-01
   9.6035721e+01   3.0979750e+00   2.6951031e-01
   9.6145095e+01   3.5459450e+00   1.6898905e-01
   9.5480670e+01   3.6921650e+00   1.0600702e-01
   9.6327916e+01   3.6998750e+00   2.4047858e-01
   9.6218418e+01   3.2519500e+00   2.6613844e-01
   9.5741218e+01   3.0872520e+00   1.2429658e-01
   9.5758195e+01   2.5014400e+00   4.3237249e-01
   9.6106573e+01   3.3953430e+00   1.8508676e-01
   9.5923864e+01   3.2413270e+00   1.6689592e-01
   9.7238168e+01   2.6399090e+00   6.5211668e-01
   9.6186047e+01   3.1051970e+00   2.9067287e-01
   9.6542811e+01   1.6861440e+00   2.0661695e+00
   9.6856529e+01   4.0702800e-01   1.2876708e+00
   9.7475704e+01   1.3912690e+00   4.9136333e-01
   9.6952159e+01   1.1842980e+00   2.8652584e+00
   9.7218310e+01   2.1323830e+00   3.7161850e-01
   9.6670667e+01   1.6710790e+00   1.6786651e+00
   9.7557167e+01   2.7852380e+00   9.9114261e-01
   9.7085193e+01   3.1267060e+00   6.8608113e-01
   9.7008981e+01   2.3244930e+00   4.2592298e-01
   9.7638514e+01   2.6082730e+00   1.1844740e+00
   9.7273060e+01   2.3012150e+00   5.4599954e-01
   9.7766441e+01   2.5929630e+00   1.4754594e+00
   9.7840798e+01   1.6984720e+00   4.3298761e-01
   9.6551561e+01   3.4129640e+00   4.2225384e-01
   9.8182745e+01   8.3929700e-01   7.4204979e-01
   9.7510667e+01   3.1145480e+00   8.7496810e-01
   9.7520266e+01   2.0216190e+00   5.5489501e-01
   9.7142734e+01   1.4639030e+00   1.1663779e+00
   9.7499616e+01   1.6455250e+00   3.5810359e-01
   9.7325242e+01   1.6176310e+00   4.6473157e-01
   9.8023420e+01   1.8519390e+00   8.9262386e-01
   9.7768503e+01   1.1760020e+00   2.6977247e-01
   9.8398916e+01   3.4299600e-01   1.0513113e+00
   9.8133558e+01   1.4830990e+00   4.6832624e-01
   9.8365213e+01   9.9283800e-01   6.1844132e-01
   9.8072814e+01   2.6063940e+00   1.7934835e+00
   9.7338387e+01   4.7129000e-01   7.8830763e-01
   9.7908094e+01   1.0646920e+00   3.5059366e-01
   9.7095099e+01   9.5523100e-01   2.4084075e+00
   9.8022903e+01   8.1985700e-01   6.5274288e-01
   9.8839204e+01   1.0512550e+00   3.8711486e-01
   9.7788865e+01   1.3087920e+00   2.2783757e-01
   9.6876787e+01   5.3992700e-01   1.6517645e+00
   9.7223140e+01  -1.9793000e-01   6.5423945e-01
   9.7197866e+01  -3.3204400e-01   7.1521104e-01
   9.8606278e+01   6.3031400e-01   5.9616095e-01
   9.8644363e+01  -1.7882000e-02   2.5746954e-01
   9.8167579e+01  -7.8088000e-02   7.0724282e-01
